username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Adam Singer,14031032,"Austin, TX",2023-01-20 15:52:22,"Take: big tech layoffs are now bad for all of US post-pandemic, no one should be cheering them on. Big tech jobs pa… https://t.co/4zAKqKwuzt",19,Twitter Web App,
Wait Capital,998910748054179840,"Austin, TX",2023-01-20 15:43:47,Big tech higher on Netflix’s earnings miss.,0,Twitter for iPhone,
Joe Crotchett,66944205,"Austin, TX",2023-01-20 15:35:17,"Now that Apple’s finally (and begrudgingly) bought in to VR, I have a theory that by the time big tech overcomes al… https://t.co/HEkidpkk1X",0,Twitter for iPhone,
Jrocktx,1514814731852255235,"Lakeway, TX",2023-01-20 15:23:04,@OfficeOfMike You’re correct. Most Americans are weak and would lay down to big tech for money and fame. Ask… https://t.co/vbITRgCPaG,0,Twitter for iPhone,
Mike Craven,360324361,"Irving, TX",2023-01-20 15:04:09,"Texas Tech 2022 Season in Review 

Joey McGuire’s Red Raiders smash expectations in year one. Is it Tech’s turn to… https://t.co/MyPfNXgPvM",5,Twitter for iPhone,
Austin Transit Blog,746133642691354624,"Austin, TX",2023-01-20 14:14:08,"@TheStalwart State Gov/UT are huge employers, also Austin tech sector historically is more semiconductor/hardware t… https://t.co/gvHLbTjMcC",0,Twitter Web App,
Deric,1593402784442884098,"Pflugerville, TX",2023-01-20 13:43:23,@LibertyLockPod Both sides have points but I think Crowder’s point highlights a major issue that needed to be broug… https://t.co/TvziLkJNUG,0,Twitter for iPhone,
Chip coy,55959581,"Austin, TX",2023-01-20 13:31:27,@IMAO_ You might have enjoyed watching to the end - Crowder’s demand is now no big tech fee deductions for his and… https://t.co/SSHWCt4Xnc,0,Twitter for iPhone,
Maralyn Burstein,713218818,"Austin, TX",2023-01-20 12:24:58,"@Wolfsbanecoins Big changes in the attitude towards tech stocks,possibly.
THINGS suddenly lurch forward-likely to b… https://t.co/Z3KPTq7JWT",0,Twitter Web App,
Stu,739502431189405697,"Austin, TX",2023-01-20 11:06:17,Awful. It’s been a horrible 6 months for big tech https://t.co/kDOhncclNX,0,Twitter Web App,
Gen3D Tech - David Sutton,1479942763139543043,"Austin, TX",2023-01-20 06:59:21,@FreshReviewsYT @mechkeysStore You should definitely check this mouse out though! It is big like the DAV3 but feels… https://t.co/zbu9PsbEw8,0,Twitter Web App,
Chris Michael Harris,622596896,"Austin, TX",2023-01-20 05:24:22,"@RealCandaceO Usually, I’m against that sort of behavior…but wow, Jeremy really showed his ass. He’s play fighting… https://t.co/KAZpJAgaZH",0,Twitter for iPhone,
Verdict,1270795774364913666,"Austin, TX",2023-01-20 04:12:53,@Zigmanfreud @benshapiro So you are admitting he does watch what he says on YouTube so that he doesn't get a perman… https://t.co/bSixhZhqZJ,0,Twitter Web App,
Verdict,1270795774364913666,"Austin, TX",2023-01-20 04:08:20,"@BretCrumbly @MarvelMom9 @RealCandaceO His whole thing is about how ""Big con is in league with big tech"" he himself… https://t.co/nPhgXKWUVt",0,Twitter Web App,
Tobs Dad,1213425349175824384,"Georgetown, TX",2023-01-20 03:12:35,"@scrowder You’ve seriously disappointed. This is a low. Idk what you’re dealing with, i hope you get through it but… https://t.co/A9HAXF6Qij",1,Twitter for iPhone,
Tobs Dad,1213425349175824384,"Georgetown, TX",2023-01-20 03:10:25,"Again, seems like @scrowder is on big tech side at this point. #DailyWire #Crowder https://t.co/EJ8KwTe4eb",0,Twitter for iPhone,
Tobs Dad,1213425349175824384,"Georgetown, TX",2023-01-20 03:08:14,"@MattWalshBlog Seems to me, big tech is in on this @scrowder stunt. More he pushes this, more fishy it sounds. Almo… https://t.co/HxMLFVkdOV",0,Twitter for iPhone,
Verdict,1270795774364913666,"Austin, TX",2023-01-20 02:35:44,Is Steven Crowder beholden to Big Tech? Does he specifically not say certain things on the YouTube part of his show… https://t.co/YokqpTP7eM,3,Twitter Web App,
ᚠᚢᚲ︍᛫ᛗᚨᚱᚲ󠄠ᛊ󠇯ᛁᛊᛗ,1586922244546203649,"Austin, TX",2023-01-19 23:20:20,@Unite4Us @CollinRugg One party is guilty of forceful suppression of the opposition through its  alignment  with co… https://t.co/Db2BrBalWk,0,Twitter for iPhone,
Eric Clemmons,14457722,"Austin, TX",2023-01-19 23:01:28,"@justinklemm @astrodotbuild Thanks!

Mine neither. It took big tech layoffs for me to write again 🫠",0,Twitter for iPhone,
Danny Davis,15649405,"Austin, Texas",2023-01-19 20:42:08,March 12 started off as a normal day. Was helping out with covering Texas at the Big 12 MBB tournament in KC. They… https://t.co/0hnVVia9g1,0,Twitter Web App,
Wait Capital,998910748054179840,"Austin, TX",2023-01-19 18:42:28,rallying into big tech earnings for the 14th year in a row. How surprising.,0,Twitter Web App,
Josh Wymer,57861292,"Austin, TX",2023-01-19 18:27:59,"7⃣👏👏👏 I'd now be ~30 years old w/ 💯 credentials, 💯 experience, a yr of savings, and $400k in my retirement acts. I'… https://t.co/u7l4KksL0s",0,Twitter Web App,
Josh Wymer,57861292,"Austin, TX",2023-01-19 18:27:07,"4⃣ Year 4 (~25 yr old), I'd jump to another big tech co as my initial equity grant has vested. 🙏 I'm now sr eng and… https://t.co/kckl51W7R2",0,Twitter Web App,
Josh Wymer,57861292,"Austin, TX",2023-01-19 18:26:36,2⃣ I would max my 401k contributions + 10% savings rate into taxable account (~25% overall). 401k matches at big te… https://t.co/zVZdyJnPhD,0,Twitter Web App,
Josh Wymer,57861292,"Austin, TX",2023-01-19 18:26:29,"1⃣ I would try to get a big tech job out of school. Ideally ""tier 1"" tech. Optimize for compensation and brand. Two… https://t.co/PMKzvNRQrh",0,Twitter Web App,
Josh Wymer,57861292,"Austin, TX",2023-01-19 18:26:10,"I’m 35 and spent the last 15 years as a software engineer in tech -- primarily in startups and scale-ups, but also… https://t.co/bilazR0RlV",1,Twitter Web App,
Cory McKane 🇺🇦,424417685,"Austin, TX",2023-01-19 17:11:52,"2.5 months until the big event!

So much to do but a lot of the big stuff is already taken care of

ATX Tech Beer P… https://t.co/sj6AYXcCfD",1,Twitter Web App,
Adam Loewy,872440976,"Austin, TX",2023-01-19 16:53:44,"@ClintonRarey That’s a good episode but if you can’t see the difference between these two issues, I can’t help you.… https://t.co/rOTMnTqCKb",0,Twitter for iPhone,
SIREN.,1387755383234744321,"Austin, TX",2023-01-19 13:02:06,"I really walked away from 2 big tech jobs &amp; one was the 6 fig cakeeee walkkkk job y’all be praying for …

All bc I… https://t.co/asjYlQeiB6",0,Twitter for iPhone,
